End-Point	Method	Content-type	Description	Detail
/{org_id}/{app_id}/	GET	application/json	Retrieve all collections	Detail
/{org_id}/{app_id}/{collection}	POST	application/json	Create a new entity or collection	Detail
/{org_id}/{app_id}/{collection}/ {uuid|name}	GET	application/json	Retrieve an entity	Detail
/{org_id}/{app_id}/{collection}/ {uuid|name}	PUT	application/json	Update an entity	Detail
/{org_id}/{app_id}/{collection}/ {uuid|name}	DELETE	application/json	Delete an entity	Detail
/{org_id}/{app_id}/{collection}?{query}	GET	application/json	Query a collection	Detail
/{org_id}/{app_id}/{collection}?{query}	PUT	application/json	Update a collection by query	Detail
/{org_id}/{app_id}/{collection}/{entity_id}/ {relationship}?{query}	GET	application/json	Query an entity's collections or connections	Detail
/{org_id}/{app_id}/{collection}/ {first_entity_id}/{relationship}/ {second_entity_id} or /{org_id}/{app_id}/{collection}/ {first_entity_id}/{relationship}/ {second_entity_type}/{second_entity_id}	POST	application/json	Add an entity to a collection or create a connection	Detail
/{org_id}/{app_id}/{collection}/ {first_entity_id}/{relationship}/ {second_entity_id} or /{org_id}/{app_id}/{collection}/ {first_entity_id}/{relationship}/ {second_entity_type}/{second_entity_id}	DELETE	application/json	Remove an entity from a collection or delete a connection	Detail
